Open,High,Low,Close,Volume,Ticker
12.828,12.970999999999998,12.826,12.970999999999998,38324,spyg
13.012,13.062,13.012,13.062,24076,spyg
13.124,13.135,13.086,13.118,18716,spyg
13.109000000000002,13.109000000000002,13.062,13.086,33860,spyg
13.041,13.095,13.008,13.095,87332,spyg
13.129,13.129,12.958,12.958,39656,spyg
12.936,13.032,12.9,13.03,86444,spyg
12.994000000000002,13.01,12.872,12.938,72628,spyg
12.931,12.956,12.81,12.828,33860,spyg
12.882,12.882,12.772,12.792,85996,spyg
12.747,12.872,12.733,12.872,46344,spyg
12.934,12.969,12.886,12.886,69056,spyg
12.938,12.963,12.803,12.86,85096,spyg
12.947,12.998,12.947,12.998,29848,spyg
13.041,13.046,13.028,13.041,21384,spyg
13.062,13.095,13.034,13.088,35648,spyg
13.062,13.095,13.034,13.088,35648,spyg
13.086,13.175999999999998,13.077,13.165,66388,spyg
13.182,13.19,13.148,13.167,10244,spyg
13.109000000000002,13.135,13.019,13.021,30744,spyg
13.015999999999998,13.079,12.988,13.079,60596,spyg
13.142,13.302,13.142,13.302,58372,spyg
13.281,13.337,13.274,13.32,44548,spyg
13.328,13.358,13.297,13.297,31640,spyg
13.322,13.351,13.288,13.317,69956,spyg
13.277,13.33,13.228,13.33,152840,spyg
13.365,13.398,13.36,13.365,53028,spyg
13.295,13.304,13.216,13.277,52132,spyg
13.358,13.358,13.288,13.288,81548,spyg
13.23,13.262,13.05,13.111,400592,spyg
13.162,13.162,12.996,13.079,49008,spyg
12.938,12.992,12.671,12.803,130552,spyg
12.806,12.823,12.656,12.656,130552,spyg
12.684,12.803,12.623,12.774,214324,spyg
12.872,12.898,12.579,12.579,223240,spyg
12.662,12.707,12.48,12.666,162208,spyg
12.754,12.779000000000002,12.686,12.779000000000002,83760,spyg
12.758,12.788,12.491,12.491,513768,spyg
12.558,12.698,12.425999999999998,12.688,399256,spyg
12.626,12.763,12.588,12.738,211648,spyg
12.87,12.970999999999998,12.792,12.902,176012,spyg
12.747,12.893,12.651,12.673,165756,spyg
12.5,12.662,12.393,12.554,147928,spyg
12.725,12.725,12.635,12.635,31192,spyg
12.603,12.619000000000002,12.377,12.377,88228,spyg
12.343,12.476,12.17,12.17,451836,spyg
12.086,12.168,11.811,12.162,272696,spyg
12.467,12.467,12.202,12.357,490588,spyg
12.4,12.453,12.294,12.386,381872,spyg
12.38,12.451,12.38,12.431,91784,spyg
12.55,12.6,12.498,12.584,374296,spyg
12.657,12.657,12.523,12.562,226352,spyg
12.581,12.736,12.581,12.723,168876,spyg
12.7,12.711,12.646,12.646,41892,spyg
12.572,12.579,12.386,12.397,1028412,spyg
12.462,12.657,12.453,12.656,104716,spyg
12.581,12.73,12.581,12.646,401024,spyg
12.765,12.819,12.723,12.786,45452,spyg
12.776,12.974,12.774,12.931,56584,spyg
12.776,12.974,12.774,12.931,56584,spyg
12.86,12.872,12.776,12.814,59272,spyg
12.875,12.888,12.823,12.87,59272,spyg
12.682,12.733,12.623,12.651,130112,spyg
12.725,12.725,12.565,12.64,33860,spyg
12.688,12.803,12.688,12.803,16488,spyg
12.788,12.858,12.788,12.814,43656,spyg
12.87,12.904000000000002,12.835,12.864,92240,spyg
12.776,12.898,12.776,12.879,36092,spyg
12.844,12.858,12.774,12.808,66388,spyg
12.866,13.129,12.83,13.114,144820,spyg
13.225,13.279000000000002,13.167,13.194,122992,spyg
13.165,13.288,13.135,13.148,328392,spyg
13.187,13.225,13.174,13.175999999999998,64600,spyg
13.182,13.234000000000002,13.124,13.148,33420,spyg
13.062,13.178,13.057,13.178,64600,spyg
13.241,13.252,13.196,13.241,109160,spyg
13.297,13.304,13.268,13.302,64168,spyg
13.32,13.339,13.263,13.268,35204,spyg
13.304,13.454,13.304,13.434,60164,spyg
13.447,13.447,13.375,13.421,85096,spyg
13.382,13.418,13.337,13.351,122532,spyg
13.367,13.390999999999998,13.326,13.384,62388,spyg
13.465,13.555,13.442,13.524,105160,spyg
13.526,13.542,13.49,13.532,72628,spyg
13.58,13.647,13.548,13.64,57940,spyg
13.64,13.698,13.623,13.685,102500,spyg
13.761,13.791,13.504,13.606,92680,spyg
13.593,13.706,13.593,13.703,37868,spyg
13.712,13.712,13.528,13.589,94912,spyg
13.54,13.589,13.508,13.53,33860,spyg
